,Compound_Name,EPA-ACW_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
681,Carb,PctGlacTilCrsWs,-0.09972812729165195,-0.09972812729165195,0.4730700154728253,0.4730700154728253
682,ConcHC,PctGlacTilCrsWs,0.03502085868671484,0.03502085868671484,0.8015009259391508,0.8015009259391508
683,Lignin,PctGlacTilCrsWs,0.025663801282871296,0.025663801282871296,0.8538509532367278,0.8538509532367278
684,Lipid,PctGlacTilCrsWs,-0.1564657343421393,-0.1564657343421393,0.2585370021601741,0.2585370021601741
685,Other,PctGlacTilCrsWs,0.004203721334113855,0.004203721334113855,0.9759328937391449,0.9759328937391449
686,Protein,PctGlacTilCrsWs,-0.1350003253841688,-0.1350003253841688,0.33040519651619404,0.33040519651619404
687,Tannin,PctGlacTilCrsWs,0.12613695155638727,0.12613695155638727,0.36342289174336173,0.36342289174336173
688,UnsatHC,PctGlacTilCrsWs,-0.051169469372751894,-0.051169469372751894,0.7132760875362849,0.7132760875362849
689,SumAllCompounds,PctGlacTilCrsWs,0.0016234300588572575,0.0016234300588572575,0.9907043887593425,0.9907043887593425
690,AminoSugar,PctGlacTilLoamWs,0.07582171870229762,0.07582171870229762,0.5858073161481134,0.5858073161481134
691,Carb,PctGlacTilLoamWs,0.10392163999591134,0.10392163999591134,0.4545660948072529,0.4545660948072529
692,ConcHC,PctGlacTilLoamWs,-0.13196829354057169,-0.13196829354057169,0.34148125314088323,0.34148125314088323
693,Lignin,PctGlacTilLoamWs,0.18495068365385142,0.18495068365385142,0.1806074883456008,0.1806074883456008
694,Lipid,PctGlacTilLoamWs,0.11207556560487807,0.11207556560487807,0.41974736298668675,0.41974736298668675
695,Other,PctGlacTilLoamWs,0.07846770058141918,0.07846770058141918,0.5727567994632559,0.5727567994632559
696,Protein,PctGlacTilLoamWs,0.15479438944480833,0.15479438944480833,0.26372154329164577,0.26372154329164577
697,Tannin,PctGlacTilLoamWs,-0.17796424386528625,-0.17796424386528625,0.1979304587912216,0.1979304587912216
698,UnsatHC,PctGlacTilLoamWs,-0.16640521228929778,-0.16640521228929778,0.22912443733540344,0.22912443733540344
699,SumAllCompounds,PctGlacTilLoamWs,0.06655456054563243,0.06655456054563243,0.6325355297625855,0.6325355297625855
700,AminoSugar,PctHydricWs,,,,
701,Carb,PctHydricWs,,,,
702,ConcHC,PctHydricWs,,,,
703,Lignin,PctHydricWs,,,,
704,Lipid,PctHydricWs,,,,
705,Other,PctHydricWs,,,,
706,Protein,PctHydricWs,,,,
707,Tannin,PctHydricWs,,,,
708,UnsatHC,PctHydricWs,,,,
709,SumAllCompounds,PctHydricWs,,,,
710,AminoSugar,PctNonCarbResidWs,0.24546854106913424,0.24546854106913424,0.07359969738634894,0.07359969738634894
711,Carb,PctNonCarbResidWs,0.14379194188897818,0.14379194188897818,0.2995825437829784,0.2995825437829784
712,ConcHC,PctNonCarbResidWs,0.256291551671943,0.256291551671943,0.06139212906222571,0.06139212906222571
713,Lignin,PctNonCarbResidWs,0.1392708584534724,0.1392708584534724,0.3151925470036493,0.3151925470036493
714,Lipid,PctNonCarbResidWs,0.2766050861546724,0.2766050861546724,0.04289244093287756,0.04289244093287756
715,Other,PctNonCarbResidWs,0.13322077988112002,0.13322077988112002,0.3368782413026955,0.3368782413026955
716,Protein,PctNonCarbResidWs,0.20626928587683344,0.20626928587683344,0.13453878880722908,0.13453878880722908
717,Tannin,PctNonCarbResidWs,0.3011178171942107,0.3011178171942107,0.02692446164168144,0.02692446164168144
718,UnsatHC,PctNonCarbResidWs,0.20936555689900904,0.20936555689900904,0.128658916798124,0.128658916798124
719,SumAllCompounds,PctNonCarbResidWs,0.24623087645571037,0.24623087645571037,0.0726811742321892,0.0726811742321892
720,AminoSugar,PctSalLakeWs,-0.01123446174970933,-0.01123446174970933,0.9357386903981574,0.9357386903981574
